date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","GOOG","USD","0001652044","2025-02-05","2025-02-04 20:41:40","2024","FY","23466000000","72191000000","95657000000","52340000000","0","15714000000","163711000000","184624000000","31885000000","0","31885000000","37982000000","17180000000","14874000000","286545000000","0","450256000000","7987000000","2887000000","8782000000","5036000000","64430000000","89122000000","22574000000","0","0","13476000000","36050000000","0","14578000000","125172000000","0","84800000000","245084000000","-4800000000","0","325084000000","325084000000","450256000000","0","450256000000","110173000000","25461000000","1995000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm","211247000000","100118000000","-62222000000","-7363000000","-35748000000","184624000000","15311000000","-52535000000","221848000000","29198000000","2687000000",
"2023-12-31","GOOG","USD","0001652044","2024-01-31","2024-01-30 21:43:43","2023","FY","24048000000","86868000000","110916000000","47964000000","0","12650000000","171530000000","148436000000","29198000000","0","29198000000","31008000000","12169000000","10051000000","230862000000","0","402392000000","7493000000","2791000000","2748000000","4137000000","64645000000","81814000000","25350000000","911000000","485000000","10453000000","37199000000","0","16634000000","119013000000","0","76534000000","211247000000","-4402000000","0","283379000000","283379000000","402392000000","0","402392000000","117876000000","27121000000","3073000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm","195563000000","73795000000","-61504000000","0","-45820000000","148436000000","11946000000","-32251000000","168741000000","28960000000","238000000",
"2022-12-31","GOOG","USD","0001652044","2023-02-03","2023-02-02 21:23:45","2022","FY","21879000000","91883000000","113762000000","40258000000","2670000000","8105000000","164795000000","127049000000","28960000000","2084000000","31044000000","30492000000","5261000000","6623000000","200469000000","0","365264000000","5128000000","2477000000","9258000000","3908000000","48529000000","69300000000","39703000000","599000000","514000000","-996000000","39820000000","0","14978000000","109120000000","0","68184000000","195563000000","-7603000000","0","256144000000","256144000000","365264000000","0","365264000000","122375000000","29679000000","7800000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm","191484000000","59972000000","-59296000000","0","-55217000000","127049000000","13475000000","-31485000000","145059000000","22956000000","6004000000",
"2021-12-31","GOOG","USD","0001652044","2022-02-02","2022-02-01 21:08:02","2021","FY","20945000000","118704000000","139649000000","39304000000","1170000000","8020000000","188143000000","110558000000","22956000000","1417000000","24373000000","29549000000","1284000000","5361000000","171125000000","0","359268000000","6037000000","2189000000","808000000","3288000000","51932000000","64254000000","39568000000","535000000","5257000000","-1981000000","43379000000","0","15551000000","107633000000","0","61774000000","191484000000","-1623000000","0","251635000000","251635000000","359268000000","0","359268000000","148253000000","26206000000","5261000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm","163401000000","76033000000","-50274000000","0","-22191000000","110558000000","12441000000","-24640000000","122757000000","21175000000","1781000000",
