date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","DAC","USD","0001369241","2025-03-05","2025-03-05 16:31:02","2024","FY","453384000","60850000","514234000","92537000","23881000","38413000","670967000","3556147000","0","0","0","0","0","116540000","3672687000","0","4343654000","29039000","35220000","0","49665000","31386000","168954000","699563000","22901000","0","27436000","749900000","0","0","918854000","0","190000","2844176000","-70430000","0","3424800000","3424800000","4343654000","0","4343654000","60850000","734783000","281399000","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/0001410578-25-000277-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/dac-20241231x20f.htm","2401912000","505073000","-53332000","-62807000","326125000","3556147000","143810000","-659343000","4071680000","0","0",
"2023-12-31","DAC","USD","0001369241","2024-02-29","2024-02-29 16:31:04","2023","FY","271809000","86029000","357838000","73388000","24511000","44118000","501770000","3048457000","0","0","0","270000","0","110639000","3159366000","0","3661136000","22820000","21300000","0","63823000","39759000","168160000","382874000","60134000","0","33651000","476659000","0","0","644819000","0","194000","2401912000","-75979000","0","3016317000","3016317000","3661136000","0","3661136000","86299000","404174000","132365000","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/0001104659-24-029397-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/dac-20231231x20f.htm","1886311000","576299000","-70610000","-60696000","384295000","3048457000","108065000","-268035000","3208427000","0","0",
"2022-12-31","DAC","USD","0001369241","2023-03-09","2023-03-09 16:27:20","2022","FY","267668000","0","267668000","54806000","16099000","32636000","372521000","2912230000","0","0","0","0","0","115477000","3027707000","0","3400228000","24505000","54969000","0","111149000","10175000","228407000","402440000","111564000","0","52861000","611407000","0","72011000","839814000","0","203000","1886311000","-74209000","0","2560414000","2560414000","3400228000","0","3400228000","0","501951000","234283000","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/0001104659-23-030602-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/dac-20221231x20f.htm","1388595000","559210000","-28553000","-61483000","407680000","2912230000","146441000","-199135000","2964924000","0","0",
"2021-12-31","DAC","USD","0001369241","2022-03-03","2022-03-03 16:16:24","2021","FY","129410000","423024000","552434000","37912000","12579000","27535000","632492000","2941093000","0","0","0","0","0","53540000","2994633000","0","3627125000","18925000","181565000","0","83180000","-51279000","319307000","1017916000","37977000","24155000","27389000","1219795000","0","222328000","1539102000","0","207000","1388595000","-71455000","0","2088023000","2088023000","3627125000","0","3627125000","423024000","1335994000","1206584000","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/0001104659-22-030016-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/dac-20201231x20f.htm","366652000","1052841000","0","-30887000","991056000","2941093000","127098000","-355720000","3169715000","0","0",
