date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-05-31","NKE","USD","0000320187","2024-07-25","2024-07-25 16:16:58","2024","FY","9860000000","1722000000","11582000000","4427000000","7519000000","1854000000","25382000000","7718000000","240000000","259000000","499000000","0","0","4511000000","12728000000","0","38110000000","2851000000","1483000000","534000000","0","5725000000","10593000000","10469000000","0","0","2618000000","13087000000","0","3043000000","23680000000","0","3000000","965000000","53000000","13409000000","14430000000","14430000000","38110000000","0","38110000000","1722000000","11952000000","2092000000","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/0000320187-24-000044-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm","1358000000","5700000000","-4250000000","-2169000000","-6812000000","7718000000","844000000","-812000000","7686000000","281000000","-41000000",
"2023-05-31","NKE","USD","0000320187","2023-07-20","2023-07-20 16:20:36","2023","FY","7441000000","3234000000","10675000000","4131000000","8454000000","1942000000","25202000000","8004000000","281000000","274000000","555000000","0","0","3770000000","12329000000","0","37531000000","2862000000","431000000","240000000","0","5723000000","9256000000","11713000000","0","0","2558000000","14271000000","0","3211000000","23527000000","0","3000000","1358000000","231000000","12412000000","14004000000","14004000000","37531000000","0","37531000000","3234000000","12144000000","4703000000","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm","3476000000","5070000000","-5480000000","-2012000000","-9610000000","8004000000","859000000","-969000000","8114000000","284000000","-3000000",
"2022-05-31","NKE","USD","0000320187","2022-07-21","2022-07-21 16:05:53","2022","FY","8574000000","4423000000","12997000000","4667000000","8420000000","2129000000","28213000000","7717000000","284000000","286000000","570000000","0","3821000000","0","12108000000","0","40321000000","3358000000","930000000","222000000","0","6220000000","10730000000","11697000000","0","2613000000","0","14310000000","0","3197000000","25040000000","0","3000000","3476000000","318000000","11484000000","15281000000","15281000000","40321000000","0","40321000000","4423000000","12627000000","4053000000","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm","3179000000","6046000000","-4014000000","-1837000000","-5554000000","7717000000","840000000","-758000000","7635000000","242000000","42000000",
"2021-05-31","NKE","USD","0000320187","2021-07-20","2021-07-20 16:11:03","2021","FY","9889000000","3587000000","13476000000","4463000000","6854000000","1498000000","26291000000","8017000000","242000000","269000000","511000000","0","2921000000","0","11449000000","0","37740000000","2836000000","469000000","306000000","0","6063000000","9674000000","12344000000","0","2955000000","0","15299000000","0","3398000000","24973000000","0","3000000","3179000000","-380000000","9965000000","12767000000","12767000000","37740000000","0","37740000000","3587000000","12813000000","2924000000","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm","-191000000","5727000000","-608000000","-1638000000","1124000000","8017000000","797000000","-695000000","7915000000","223000000","19000000",
