date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","ENB","CAD","0000000000","2025-03-11","2025-03-11 17:18:34","2024","FY","1803000000","0","1803000000","7385000000","1488000000","2487000000","13163000000","131104000000","36600000000","4587000000","41187000000","20691000000","796000000","12032000000","205810000000","0","218973000000","7060000000","8258000000","959000000","1072000000","6463000000","23812000000","93414000000","0","19596000000","13258000000","126268000000","0","0","150080000000","6818000000","71738000000","-20046000000","7115000000","275000000","65900000000","68893000000","218973000000","2993000000","218973000000","20691000000","101672000000","99869000000","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/0001193125-25-052058-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/d915084d10ka.htm","-17115000000","5441000000","0","-8262000000","-11193000000","131104000000","5167000000","-6930000000","132867000000","31848000000","4752000000",
"2023-12-31","ENB","CAD","0000000000","2024-03-13","2024-03-12 21:40:49","2023","FY","5901000000","0","5901000000","4842000000","1479000000","2177000000","14399000000","105310000000","31848000000","3537000000","35385000000","16793000000","341000000","8089000000","165918000000","0","180317000000","4308000000","6484000000","596000000","1177000000","4870000000","17435000000","74715000000","0","15031000000","8653000000","98399000000","0","0","115834000000","6818000000","69180000000","-17115000000","2303000000","268000000","61454000000","64483000000","180317000000","3029000000","180317000000","16793000000","81199000000","75298000000","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/0001193125-24-066168-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/d568818d10ka.htm","-15486000000","6191000000","-125000000","-7628000000","-9382000000","105310000000","4613000000","-4876000000","105573000000","32440000000","-592000000",
"2022-12-31","ENB","CAD","0000000000","2023-03-06","2023-03-06 08:36:14","2022","FY","861000000","0","861000000","6053000000","2255000000","2978000000","12147000000","104460000000","32440000000","4018000000","36458000000","15936000000","472000000","10135000000","167461000000","0","179608000000","6172000000","8041000000","683000000","1056000000","4349000000","20301000000","72939000000","0","13781000000","9189000000","95909000000","0","0","116210000000","6818000000","64760000000","-15486000000","3520000000","275000000","59887000000","63398000000","179608000000","3511000000","179608000000","15936000000","80980000000","80119000000","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/0001193125-23-060793-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/d409094d10ka.htm","-10989000000","3003000000","-1154000000","-7306000000","-12957000000","104460000000","4317000000","-4821000000","104964000000","32775000000","-335000000",
"2021-12-31","ENB","CAD","0000000000","2022-02-11","2022-02-11 07:11:13","2021","FY","286000000","0","286000000","5471000000","1670000000","1532000000","8959000000","100067000000","32775000000","4008000000","36783000000","13324000000","488000000","9243000000","159905000000","0","168864000000","4470000000","7679000000","478000000","0","5602000000","18229000000","67961000000","0","11689000000","7617000000","87267000000","0","0","105496000000","7747000000","64799000000","-10989000000","-1096000000","365000000","60826000000","63368000000","168864000000","2542000000","168864000000","13324000000","75640000000","75354000000","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/enb-20211231.htm","-9995000000","6189000000","-415000000","-7133000000","-8542000000","100067000000","3852000000","-8093000000","104308000000","32700000000","75000000",
