date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","DAC","USD","0001369241","2025-03-05","2025-03-05 16:31:02","2024","FY","1014110000","398169000","615941000","0.6073709953","0","54228000","0","54228000","20829000","75057000","473226000","12890000","26185000","143810000","675068000","0.6656753212","540884000","0.5333583142","-35811000","505073000","0.4980455769","0","505073000","0.4980455769","26.15","26.05","19316453","19384879","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/0001410578-25-000277-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/dac-20241231x20f.htm","2401912000","-53332000","-62807000","326125000","2844176000","3556147000","143810000","-659343000","4071680000","0","0","0",
"2023-12-31","DAC","USD","0001369241","2024-02-29","2024-02-29 16:31:04","2023","FY","973583000","329877000","643706000","0.6611721856","0","43484000","0","43484000","17024000","60508000","392922000","12133000","24737000","108065000","704827000","0.7239516302","580661000","0.5964165356","-4362000","576299000","0.591936178","0","576299000","0.591936178","28.99","28.95","19879161","19903655","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/0001104659-24-029397-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/dac-20231231x20f.htm","1886311000","-70610000","-60696000","384295000","2401912000","3048457000","108065000","-268035000","3208427000","0","0","0",
"2022-12-31","DAC","USD","0001369241","2023-03-09","2023-03-09 16:27:20","2022","FY","993344000","328388000","664956000","0.6694116036","0","36575000","0","36575000","12170000","48745000","377133000","4591000","62141000","146441000","787632000","0.7929096063","653436000","0.6578144127","-75976000","577460000","0.581329328","18250000","559210000","0.5629570421","27.3","27.28","20481894","20501021","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/0001104659-23-030602-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/dac-20221231x20f.htm","1388595000","-28553000","-61483000","407680000","1886311000","2912230000","146441000","-199135000","2964924000","0","0","0",
"2021-12-31","DAC","USD","0001369241","2022-03-03","2022-03-03 16:16:24","2021","FY","689505000","277114000","412391000","0.5980971857","0","54132000","0","54132000","4543000","54132000","331246000","12230000","68991000","127098000","444477000","0.6446320186","358259000","0.5195886904","700472000","1058731000","1.5354943039","5890000","1052841000","1.5269519438","51.75","51.15","20345394","20583796","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/0001104659-22-030016-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/dac-20201231x20f.htm","366652000","0","-30887000","991056000","1388595000","2941093000","127098000","-355720000","3169715000","0","0","0",
