date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","FTS","CAD","0000000000","2025-02-14","2025-02-14 06:03:55","2024","FY","11508000000","3249000000","8259000000","0.7176746611","0","0","0","0","4967000000","4967000000","8216000000","64000000","1406000000","1927000000","5507000000","0.4785366701","3292000000","0.28606187","-1118000000","2174000000","0.1889120612","346000000","1680000000","0.1459854015","3.24","3.24","495000000","495200000","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/0001666175-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/fts-20241231.htm","4112000000","0","-818000000","-409000000","4521000000","49520000000","1927000000","-5218000000","52811000000","12184000000","928000000","13112000000",
"2023-12-31","FTS","CAD","0000000000","2024-02-09","2024-02-09 06:06:21","2023","FY","11517000000","6660000000","4857000000","0.4217244074","0","0","0","62000000","1711000000","1773000000","8433000000","76000000","1305000000","1773000000","5148000000","0.446991404","3084000000","0.2677780672","-1014000000","2070000000","0.1797343058","360000000","1573000000","0.1365807068","2.96","3.1","486300000","486500000","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/0001666175-24-000020-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/fts-20231231.htm","3733000000","0","-768000000","-389000000","4112000000","43436000000","1773000000","-4169000000","45832000000","12464000000","-280000000","12184000000",
"2022-12-31","FTS","CAD","0000000000","2023-02-10","2023-02-10 06:03:24","2022","FY","11043000000","3952000000","7091000000","0.6421262338","0","0","0","92000000","4259000000","4351000000","8303000000","11000000","1102000000","1668000000","4500000000","0.4074979625","2740000000","0.2481209816","-937000000","1803000000","0.1632708503","289000000","1394000000","0.1262338133","2.78","2.78","478600000","479000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/0001666175-23-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/fts-20221231.htm","3458000000","0","-737000000","-462000000","3733000000","41706000000","1668000000","-3865000000","43903000000","11720000000","744000000","12464000000",
"2021-12-31","FTS","CAD","0000000000","2022-02-11","2022-02-11 06:13:24","2021","FY","9448000000","2951000000","6497000000","0.6876587638","0","0","0","45000000","3983000000","4028000000","6979000000","5000000","1003000000","1505000000","4147000000","0.4389288738","2469000000","0.2613251482","-830000000","1639000000","0.1734758679","234000000","1294000000","0.1369602032","2.61","2.61","470900000","471400000","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/0001666175-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/fts-20211231.htm","3210000000","0","-671000000","-423000000","3458000000","37856000000","1505000000","-3386000000","39737000000","11792000000","-72000000","11720000000",
