date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","GOOG","USD","0001652044","2025-02-05","2025-02-04 20:41:40","2024","FY","350018000000","146306000000","203712000000","0.5820043541","49326000000","14188000000","27808000000","41996000000","0","91322000000","237628000000","4482000000","268000000","15311000000","135394000000","0.3868201064","112390000000","0.3210977721","7425000000","119815000000","0.3423109669","19697000000","100118000000","0.2860367181","8.04","8.04","12447000973","12447000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm","211247000000","-62222000000","-7363000000","-35748000000","245084000000","184624000000","15311000000","-52535000000","221848000000","29198000000","2687000000","31885000000",
"2023-12-31","GOOG","USD","0001652044","2024-01-31","2024-01-30 21:43:43","2023","FY","307394000000","133332000000","174062000000","0.5662504798","45427000000","16425000000","27917000000","44342000000","0","89769000000","223101000000","3865000000","308000000","11946000000","97971000000","0.3187147439","84293000000","0.2742181045","1424000000","85717000000","0.2788505957","11922000000","73795000000","0.2400664945","5.84","5.8","12630000000","12722000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm","195563000000","-61504000000","0","-45820000000","211247000000","148436000000","11946000000","-32251000000","168741000000","28960000000","238000000","29198000000",
"2022-12-31","GOOG","USD","0001652044","2023-02-03","2023-02-02 21:23:45","2022","FY","282836000000","126203000000","156633000000","0.553794425","39500000000","15724000000","26567000000","42291000000","0","81791000000","207994000000","2174000000","357000000","13475000000","85160000000","0.301093213","74842000000","0.2646127084","-3514000000","71328000000","0.2521885474","11356000000","59972000000","0.2120380715","4.59","4.56","13063000000","13159000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm","191484000000","-59296000000","0","-55217000000","195563000000","127049000000","13475000000","-31485000000","145059000000","22956000000","6004000000","28960000000",
"2021-12-31","GOOG","USD","0001652044","2022-02-02","2022-02-01 21:08:02","2021","FY","257637000000","110939000000","146698000000","0.569398029","31562000000","13510000000","22912000000","36422000000","0","67984000000","178923000000","1499000000","346000000","12441000000","103521000000","0.4018095227","78714000000","0.3055228869","12020000000","90734000000","0.3521776763","14701000000","76033000000","0.2951167728","5.69","5.61","13353000000","13553480000","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm","163401000000","-50274000000","0","-22191000000","191484000000","110558000000","12441000000","-24640000000","122757000000","21175000000","1781000000","22956000000",
