date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","TS","USD","0001190723","2025-04-01","2025-04-01 15:49:22","2024","FY","12523934000","8135489000","4388445000","0.3504046732","0","996272000","624113000","1620385000","349211000","1969596000","10105085000","229835000","61212000","632854000","3158703000","0.2522133221","2418849000","0.1931381146","137604000","2556453000","0.204125397","479680000","2036445000","0.1626042584","1.81","1.81","1125107734","1125107734","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/0001554855-25-000262-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/ts-20241231.htm","16742536000","-1439589000","-757786000","-1197981000","17741930000","6270339000","632854000","-704347000","6341832000","1103707000","-1103707000","0",
"2023-12-31","TS","USD","0001190723","2024-03-28","2024-03-27 18:51:49","2023","FY","14868860000","8396795000","6472065000","0.4352764771","60000000","927426000","696705000","1624131000","471526000","2155657000","10552452000","106808000","106862000","548510000","5192757000","0.3492370632","4316408000","0.2902985165","316381000","4632789000","0.3115766104","674956000","3918065000","0.2635080968","6.65","6.65","589369000","589369000","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/0001554855-24-000207-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/ts-20231231.htm","13461638000","-213739000","-636511000","2430648000","16742536000","6210317000","548510000","-619445000","6281252000","1085052000","18655000","1103707000",
"2022-12-31","TS","USD","0001190723","2022-12-31","2022-12-30 19:00:00","2022","FY","11762526000","7087739000","4674787000","0.3974305349","50700000","754094000","641812000","1395906000","301549000","1697455000","8785194000","86112000","45940000","607723000","3819600000","0.3247261685","2963275000","0.2519250542","202662000","3165937000","0.2691545166","617236000","2553280000","0.2170690207","2.16","2.16","1180537000","1180537000","","","11439587000","0","-531242000","1490809000","13461638000","5668004000","607723000","-397347000","5457628000","1084644000","408000","1085052000",
"2021-12-31","TS","USD","0001190723","2021-12-31","2021-12-30 19:00:00","2021","FY","6521207000","4611602000","1909605000","0.292829993","45300000","588850000","415895000","1004745000","138893000","1143638000","5755240000","38048000","23677000","594721000","1861164000","0.2854017669","1320894000","0.202553607","-78128000","1242766000","0.1905730028","189448000","1100191000","0.1687097189","0.93","0.93","1180537000","1180537000","","","10658155000","0","-318744000","462688000","11439587000","5933539000","594721000","-244593000","5583411000","1085968000","-1324000","1084644000",
