date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","META","USD","0001326801","2025-01-30","2025-01-29 20:00:50","2024","FY","164501000000","30161000000","134340000000","0.8166515705","43873000000","9740000000","11347000000","21087000000","0","64960000000","95121000000","2517000000","544000000","15498000000","86876000000","0.5281183701","69380000000","0.421760354","1283000000","70663000000","0.4295596987","8303000000","62360000000","0.3790858414","24.61","23.86","2534000000","2614000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm","82070000000","-30125000000","-5072000000","-14761000000","102506000000","136268000000","15498000000","-37256000000","158026000000","20654000000","0","20654000000",
"2023-12-31","META","USD","0001326801","2024-02-02","2024-02-01 19:39:02","2023","FY","134902000000","25959000000","108943000000","0.8075714222","38483000000","11408000000","12301000000","23709000000","0","62192000000","88151000000","1639000000","446000000","11178000000","59052000000","0.437739989","46751000000","0.3465552772","677000000","47428000000","0.351573735","8330000000","39098000000","0.2898252064","15.19","14.87","2574000000","2629000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm","64799000000","-19774000000","0","-2503000000","82070000000","109881000000","11178000000","-27266000000","125969000000","20306000000","348000000","20654000000",
"2022-12-31","META","USD","0001326801","2023-02-02","2023-02-01 20:26:31","2022","FY","116609000000","25249000000","91360000000","0.7834729738","35338000000","11816000000","15262000000","27078000000","-320000000","62416000000","87665000000","276000000","276000000","8686000000","42241000000","0.3622447667","33555000000","0.2877565197","-125000000","28819000000","0.2471421588","5619000000","23200000000","0.1989554837","8.63","8.59","2687000000","2702000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm","69761000000","-27956000000","0","-32918000000","64799000000","92191000000","8686000000","-31431000000","114936000000","19197000000","1109000000","20306000000",
"2021-12-31","META","USD","0001326801","2022-02-03","2022-02-02 21:11:04","2021","FY","117929000000","22649000000","95280000000","0.8079437628","24655000000","9829000000","14043000000","23872000000","210000000","48527000000","71176000000","531000000","461000000","7967000000","54720000000","0.4640080048","46753000000","0.3964504066","531000000","47284000000","0.4009531159","7914000000","39370000000","0.3338449406","13.99","13.77","2815000000","2859000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm","77345000000","-44537000000","0","-52121000000","69761000000","69964000000","7967000000","-18567000000","80564000000","19050000000","147000000","19197000000",
