date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-05-31","NKE","USD","0000320187","2024-07-25","2024-07-25 16:16:58","2024","FY","5700000000","796000000","-497000000","804000000","716000000","0","908000000","397000000","-589000000","-90000000","7429000000","-812000000","0","-4767000000","6488000000","-15000000","894000000","0","0","-4250000000","-2169000000","531000000","-5888000000","-16000000","2419000000","9860000000","7441000000","7429000000","-812000000","6617000000","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/0000320187-24-000044-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm","1358000000","-4250000000","-6812000000","965000000","7718000000","844000000","7686000000","281000000","-41000000","240000000",
"2023-05-31","NKE","USD","0000320187","2023-07-20","2023-07-20 16:20:36","2023","FY","5070000000","859000000","-117000000","755000000","-513000000","489000000","-133000000","-225000000","-131000000","-213000000","5841000000","-969000000","0","-6059000000","7540000000","52000000","564000000","-504000000","0","-5480000000","-2012000000","549000000","-7447000000","-91000000","-1133000000","7441000000","8574000000","5841000000","-969000000","4872000000","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm","3476000000","-5480000000","-9610000000","1358000000","8004000000","859000000","8114000000","284000000","-3000000","281000000",
"2022-05-31","NKE","USD","0000320187","2022-07-21","2022-07-21 16:05:53","2022","FY","6046000000","840000000","-650000000","638000000","-1660000000","-504000000","-1676000000","1365000000","-845000000","-26000000","5188000000","-758000000","0","-12913000000","12166000000","-19000000","-1524000000","15000000","0","-4014000000","-1837000000","1000000000","-4836000000","-143000000","-1315000000","8574000000","9889000000","5188000000","-758000000","4430000000","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm","3179000000","-4014000000","-5554000000","3476000000","7717000000","840000000","7635000000","242000000","42000000","284000000",
"2021-05-31","NKE","USD","0000320187","2021-07-20","2021-07-20 16:11:03","2021","FY","5727000000","797000000","-385000000","611000000","45000000","-1606000000","507000000","1326000000","-182000000","-138000000","6657000000","-695000000","0","-9961000000","6685000000","171000000","-3800000000","-249000000","0","-608000000","-1638000000","1036000000","-1459000000","143000000","1541000000","9889000000","8348000000","6657000000","-695000000","5962000000","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm","-191000000","-608000000","1124000000","3179000000","8017000000","797000000","7915000000","223000000","19000000","242000000",
