date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","TS","USD","0001190723","2025-04-01","2025-04-01 15:49:22","2024","FY","2036445000","632854000","0","0","261762000","0","0","0","261762000","-64843000","2866218000","-704347000","0","0","0","-692810000","-1397157000","-128761000","0","-1439589000","-757786000","-4719000","-2399429000","-25431000","-955799000","660798000","1616597000","2866218000","-704347000","2161871000","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/0001554855-25-000262-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/ts-20241231.htm","16742536000","-1439589000","-1197981000","17741930000","6270339000","632854000","6341832000","1103707000","-1103707000","0",
"2023-12-31","TS","USD","0001190723","2024-03-28","2024-03-27 18:51:49","2023","FY","3918065000","548510000","-143391000","0","182428000","217920000","186903000","-149024000","-73371000","-110539000","4395073000","-619445000","-289444000","0","0","-1777628000","-2686517000","-259562000","0","-213739000","-636511000","-15195000","-1125007000","-58385000","525164000","1616597000","1091433000","4395073000","-619445000","3775628000","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/0001554855-24-000207-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/ts-20231231.htm","13461638000","-213739000","2430648000","16742536000","6210317000","548510000","6281252000","1085052000","18655000","1103707000",
"2022-12-31","TS","USD","0001190723","2022-12-31","2022-12-30 19:00:00","2022","FY","2553280000","607723000","257651000","0","-2131245000","-1208278000","-1329865000","353892000","53006000","-115613000","1167217000","-397347000","-4082000","0","123254000","114620000","-163555000","-1146766000","0","0","-531242000","-11839001","-178344000","-51952000","773366000","1091433000","318067000","1167217000","-397347000","769870000","","","11439587000","0","1490809000","13461638000","5668004000","607723000","5457628000","1084644000","408000","1085052000",
"2021-12-31","TS","USD","0001190723","2021-12-31","2021-12-30 19:00:00","2021","FY","1100191000","594721000","35602000","0","-1045907000","-334781000","-1060465000","383417000","-34078000","-11363000","119075000","-244593000","23640000","239518000","390186000","-140854000","267897000","-1169526000","0","0","-318744000","-3355000","-647957000","-5531000","-266516000","318067000","584583000","119075000","-244593000","-125518000","","","10658155000","0","462688000","11439587000","5933539000","594721000","5583411000","1085968000","-1324000","1084644000",
