date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","FTS","CAD","0000000000","2025-02-14","2025-02-14 06:03:55","2024","FY","1680000000","1927000000","154000000","0","69000000","-2000000","-73000000","115000000","29000000","-96000000","3882000000","-5012000000","0","0","0","-383000000","-5395000000","1944000000","46000000","0","-818000000","-108000000","1064000000","44000000","-405000000","220000000","625000000","3882000000","-5218000000","-1336000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/0001666175-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/fts-20241231.htm","4112000000","0","-409000000","4521000000","49520000000","1927000000","52811000000","12184000000","928000000","13112000000",
"2023-12-31","FTS","CAD","0000000000","2024-02-09","2024-02-09 06:06:21","2023","FY","1573000000","1773000000","272000000","0","-181000000","142000000","-1000000","-390000000","68000000","108000000","3545000000","-3986000000","430000000","0","0","-186000000","-3742000000","1415000000","43000000","0","-768000000","-77000000","613000000","0","416000000","625000000","209000000","3545000000","-4169000000","-624000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/0001666175-24-000020-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/fts-20231231.htm","3733000000","0","-389000000","4112000000","43436000000","1773000000","45832000000","12464000000","-280000000","12184000000",
"2022-12-31","FTS","CAD","0000000000","2023-02-10","2023-02-10 06:03:24","2022","FY","1394000000","1668000000","182000000","41000000","-317000000","-479000000","-153000000","449000000","-134000000","-14000000","3074000000","-3587000000","-100000000","0","0","-372000000","-4059000000","-1811000000","53000000","0","-737000000","-71000000","1035000000","28000000","78000000","209000000","131000000","3074000000","-3865000000","-791000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/0001666175-23-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/fts-20221231.htm","3458000000","0","-462000000","3733000000","41706000000","1668000000","43903000000","11720000000","744000000","12464000000",
"2021-12-31","FTS","CAD","0000000000","2022-02-11","2022-02-11 06:13:24","2021","FY","1294000000","1505000000","147000000","100000000","-144000000","-88000000","-56000000","164000000","-164000000","-106000000","2907000000","-3189000000","0","0","0","-299000000","-3488000000","1138000000","60000000","0","-671000000","-76000000","451000000","12000000","-118000000","131000000","249000000","2907000000","-3386000000","-479000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/0001666175-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/fts-20211231.htm","3210000000","0","-423000000","3458000000","37856000000","1505000000","39737000000","11792000000","-72000000","11720000000",
