date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","ENB","CAD","0000000000","2025-03-11","2025-03-11 17:18:34","2024","FY","5441000000","5167000000","719000000","0","-133000000","-1661000000","177000000","1375000000","-24000000","1216000000","12600000000","-6930000000","-10748000000","0","0","-2685000000","-20363000000","9690000000","2485000000","0","-8262000000","-369000000","3544000000","234000000","-3985000000","2000000000","5985000000","12600000000","-6930000000","5670000000","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/0001193125-25-052058-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/d915084d10ka.htm","-17115000000","0","-11193000000","-20046000000","131104000000","5167000000","132867000000","31848000000","4752000000","36600000000",
"2023-12-31","ENB","CAD","0000000000","2024-03-13","2024-03-12 21:40:49","2023","FY","6191000000","4613000000","1420000000","0","2311000000","1143000000","763000000","-1608000000","2013000000","-201000000","14201000000","-4876000000","-943000000","-1276000000","0","1052000000","-6043000000","876000000","4450000000","-125000000","-7628000000","-437000000","-2864000000","-216000000","5078000000","5985000000","907000000","14201000000","-4876000000","9325000000","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/0001193125-24-066168-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/d568818d10ka.htm","-15486000000","-125000000","-9382000000","-17115000000","105310000000","4613000000","105573000000","32440000000","-592000000","31848000000",
"2022-12-31","ENB","CAD","0000000000","2023-03-06","2023-03-06 08:36:14","2022","FY","3003000000","4317000000","957000000","260000000","-12000000","-950000000","-599000000","1116000000","421000000","2770000000","11230000000","-4821000000","-306000000","-1041000000","657000000","241000000","-5270000000","2497000000","3000000","-1154000000","-7306000000","532000000","-5428000000","55000000","587000000","907000000","320000000","11230000000","-4821000000","6409000000","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/0001193125-23-060793-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/d409094d10ka.htm","-10989000000","-1154000000","-12957000000","-15486000000","104460000000","4317000000","104964000000","32775000000","-335000000","32440000000",
"2021-12-31","ENB","CAD","0000000000","2022-02-11","2022-02-11 07:11:13","2021","FY","6189000000","3852000000","1091000000","0","-1616000000","-1266000000","-118000000","-11000000","-221000000","-385000000","9256000000","-8093000000","-3785000000","-640000000","0","1861000000","-10657000000","9122000000","5000000","-415000000","-7133000000","-343000000","1236000000","-5000000","-170000000","320000000","490000000","9256000000","-8093000000","1163000000","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/enb-20211231.htm","-9995000000","-415000000","-8542000000","-10989000000","100067000000","3852000000","104308000000","32700000000","75000000","32775000000",
