date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","FTS","CAD","0000000000","2025-02-14","2025-02-14 06:03:55","2024","FY","220000000","0","220000000","1669000000","685000000","1222000000","3796000000","49520000000","13112000000","1661000000","14773000000","484000000","0","4913000000","69690000000","0","73486000000","1121000000","2088000000","304000000","360000000","2163000000","6036000000","31614000000","128000000","5020000000","4835000000","41597000000","0","390000000","47633000000","1623000000","15589000000","4521000000","2067000000","8000000","23808000000","25853000000","73486000000","2045000000","73486000000","484000000","33702000000","33482000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/0001666175-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617525000017/fts-20241231.htm","4112000000","1680000000","0","-818000000","-409000000","49520000000","1927000000","-5218000000","52811000000","12184000000","928000000",
"2023-12-31","FTS","CAD","0000000000","2024-02-09","2024-02-09 06:06:21","2023","FY","625000000","0","625000000","1549000000","566000000","1285000000","4025000000","43436000000","12184000000","1510000000","13694000000","370000000","0","4395000000","61895000000","0","65920000000","990000000","2415000000","268000000","0","2291000000","5964000000","27613000000","0","0","9011000000","36624000000","0","378000000","42588000000","1623000000","15108000000","4112000000","653000000","9000000","21505000000","23332000000","65920000000","1827000000","65920000000","370000000","30028000000","29403000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/0001666175-24-000020-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617524000020/fts-20231231.htm","3733000000","1573000000","0","-768000000","-389000000","43436000000","1773000000","-4169000000","45832000000","12464000000","-280000000",
"2022-12-31","FTS","CAD","0000000000","2023-02-10","2023-02-10 06:03:24","2022","FY","209000000","0","209000000","1759000000","661000000","1640000000","4269000000","41706000000","12464000000","1548000000","14012000000","316000000","0","3949000000","59983000000","0","64252000000","886000000","2690000000","370000000","401000000","2226000000","6617000000","26301000000","0","0","8492000000","34793000000","0","326000000","41410000000","1623000000","14656000000","3733000000","1008000000","10000000","21030000000","22842000000","64252000000","1812000000","64252000000","316000000","29035000000","28826000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/0001666175-23-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617523000014/fts-20221231.htm","3458000000","1394000000","0","-737000000","-462000000","41706000000","1668000000","-3865000000","43903000000","11720000000","744000000",
"2021-12-31","FTS","CAD","0000000000","2022-02-11","2022-02-11 06:13:24","2021","FY","131000000","0","131000000","1269000000","478000000","850000000","2728000000","37856000000","11720000000","1343000000","13063000000","178000000","0","3834000000","54931000000","0","57659000000","774000000","2911000000","269000000","222000000","1662000000","4802000000","24072000000","0","0","7869000000","31941000000","0","1401000000","36743000000","1623000000","14237000000","3458000000","-40000000","10000000","19288000000","20916000000","57659000000","1628000000","57659000000","178000000","25947000000","25816000000","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/0001666175-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1666175/000166617522000019/fts-20211231.htm","3210000000","1294000000","0","-671000000","-423000000","37856000000","1505000000","-3386000000","39737000000","11792000000","-72000000",
