date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","TS","USD","0001190723","2025-04-01","2025-04-01 15:49:22","2024","FY","675256000","2372999000","3048255000","1958264000","3709942000","520974000","9236180000","6270339000","0","1357749000","1357749000","2548957000","0","1036900000","11213945000","0","20450125000","880261000","470489000","366292000","0","919615000","2636657000","111835000","0","0","887798000","999633000","0","144926000","3636290000","0","1162758000","17741930000","-994527000","-1316904000","16593257000","16813835000","20450125000","220578000","20450125000","4921956000","582324000","-92932000","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/0001554855-25-000262-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485525000262/ts-20241231.htm","16742536000","2036445000","-1439589000","-757786000","-1197981000","6270339000","632854000","-704347000","6341832000","1103707000","-1103707000",
"2023-12-31","TS","USD","0001190723","2024-03-28","2024-03-27 18:51:49","2023","FY","1637821000","1969631000","3607452000","2480889000","3921097000","495021000","10504459000","6210317000","1103707000","273403000","1377110000","2014435000","0","975574000","10577436000","0","21081895000","1107567000","59059000","488277000","513909000","733163000","2901975000","144902000","0","631605000","372976000","1149483000","0","134433000","4051458000","0","1180537000","16742536000","-1476095000","395994000","16842972000","17030437000","21081895000","187465000","21081895000","3984066000","203961000","-1433860000","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/0001554855-24-000207-index.htm","https://www.sec.gov/Archives/edgar/data/1190723/000155485524000207/ts-20231231.htm","13461638000","3918065000","-213739000","-636511000","2430648000","6210317000","548510000","-619445000","6281252000","1085052000","18655000",
"2022-12-31","TS","USD","0001190723","2022-12-31","2022-12-30 19:00:00","2022","FY","1091527000","438448000","1529975000","2493940000","3986929000","457752000","8468596000","5668004000","1085052000","247456000","1332508000","1660548000","208870000","211720000","9081650000","0","17550246000","1179457000","28655000","376240000","242910000","1204071000","2788423000","130049000","0","269069000","597337000","727386000","0","112177000","3515809000","0","1180537000","13461638000","-1346199000","491679000","13905709000","14034437000","17550246000","128728000","17550246000","2098996000","840939000","-250588000","","","11439587000","2553280000","0","-531242000","1490809000","5668004000","607723000","-397347000","5457628000","1084644000","408000",
"2021-12-31","TS","USD","0001190723","2021-12-31","2021-12-30 19:00:00","2021","FY","318127000","397849000","715976000","1299072000","2672593000","293532000","4981173000","5933539000","1084644000","287532000","1372176000","1704028000","245547000","212968000","9468258000","0","14449431000","845256000","34651000","143486000","92436000","536252000","1559645000","194126000","266805000","274721000","323153000","784084000","0","117285000","2343729000","0","1180537000","11439587000","-1269279000","491679000","11960578000","12105702000","14449431000","145124000","14449431000","2101877000","448218000","130091000","","","10658155000","1100191000","0","-318744000","462688000","5933539000","594721000","-244593000","5583411000","1085968000","-1324000",
