date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","BCE","CAD","0000718940","2025-03-07","2025-03-07 17:03:34","2024","FY","1572000000","400000000","1972000000","4966000000","420000000","1306000000","8923000000","30001000000","10261000000","16786000000","27047000000","1218000000","136000000","6160000000","64562000000","0","73485000000","2961000000","4391000000","188000000","774000000","3419000000","14846000000","32835000000","350000000","5244000000","2850000000","41279000000","0","1088000000","56125000000","3533000000","20860000000","-8441000000","-159000000","0","17071000000","17360000000","73485000000","289000000","73485000000","1618000000","38314000000","36742000000","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/0001193125-25-049950-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/d899242d40f.htm","-5513000000","344000000","-92000000","-3800000000","-6820000000","30001000000","5041000000","-4428000000","29388000000","10942000000","-681000000",
"2023-12-31","BCE","CAD","0000718940","2024-03-08","2024-03-08 09:24:14","2023","FY","772000000","1000000000","1772000000","4474000000","465000000","957000000","7898000000","30352000000","10942000000","16609000000","27551000000","910000000","96000000","5133000000","64042000000","0","71940000000","3308000000","3968000000","268000000","811000000","694000000","12107000000","31135000000","277000000","0","7864000000","39276000000","0","1074000000","51383000000","3667000000","20859000000","-5513000000","-42000000","0","20229000000","20557000000","71940000000","328000000","71940000000","1910000000","36177000000","35405000000","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/0001193125-24-063019-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/d758244d40f.htm","-3649000000","2263000000","-140000000","-3668000000","-5672000000","30352000000","4918000000","-4764000000","30198000000","10906000000","36000000",
"2022-12-31","BCE","CAD","0000718940","2023-03-03","2023-03-03 09:14:19","2022","FY","149000000","0","149000000","4574000000","656000000","864000000","6487000000","29256000000","10906000000","16183000000","27089000000","823000000","84000000","5590000000","62842000000","0","69329000000","3602000000","3207000000","106000000","857000000","904000000","11469000000","27783000000","0","0","7562000000","35345000000","0","930000000","46814000000","3870000000","20840000000","-3649000000","-55000000","0","22178000000","22515000000","69329000000","337000000","69329000000","823000000","31920000000","31771000000","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/0001193125-23-059140-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/d451834d40f.htm","-3400000000","2868000000","-125000000","-3448000000","-3822000000","29256000000","4723000000","-5136000000","29669000000","10572000000","334000000",
"2021-12-31","BCE","CAD","0000718940","2022-03-04","2022-03-04 09:14:03","2021","FY","289000000","0","289000000","4363000000","482000000","810000000","6198000000","28235000000","10572000000","15570000000","26142000000","851000000","105000000","5233000000","60566000000","0","66764000000","2931000000","1050000000","141000000","799000000","1617000000","9113000000","27048000000","246000000","0","7416000000","34710000000","0","864000000","43823000000","4003000000","20662000000","-3400000000","213000000","-23000000","22612000000","22918000000","66764000000","306000000","66764000000","851000000","28962000000","28673000000","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/0001193125-22-065246-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/d250764d40f.htm","-4681000000","2840000000","0","-3257000000","-1976000000","28235000000","4609000000","-6919000000","30545000000","10604000000","-32000000",
