date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","TSLA","USD","0001318605","2025-01-30","2025-01-29 20:42:33","2024","FY","97690000000","80240000000","17450000000","0.1786262668","4540000000","0","0","5150000000","684000000","10374000000","90614000000","1569000000","350000000","5368000000","14708000000","0.1505578872","7076000000","0.0724332071","1914000000","8990000000","0.0920257959","1837000000","7130000000","0.072985976","2.23","2.04","3213000000","3517000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm","27882000000","0","0","7327000000","35209000000","51507000000","5368000000","-11342000000","57481000000","253000000","-9000000","244000000",
"2023-12-31","TSLA","USD","0001318605","2024-01-29","2024-01-26 21:00:20","2023","FY","96773000000","79113000000","17660000000","0.1824889174","3969000000","0","0","4800000000","0","8769000000","87882000000","1066000000","156000000","4667000000","14796000000","0.1528938857","8891000000","0.0918747998","1082000000","9973000000","0.1030556044","-5001000000","14999000000","0.1549915782","4.73","4.3","3174000000","3485000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm","12885000000","0","0","14997000000","27882000000","45123000000","4667000000","-8899000000","49355000000","194000000","59000000","253000000",
"2022-12-31","TSLA","USD","0001318605","2023-01-31","2023-01-30 21:29:15","2022","FY","81462000000","60609000000","20853000000","0.2559843854","3075000000","0","0","3946000000","176000000","7197000000","67806000000","297000000","191000000","3747000000","17657000000","0.2167513687","13656000000","0.167636444","63000000","13719000000","0.1684098107","1132000000","12583000000","0.1544646584","4.02","3.62","3130000000","3475000000","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm","329000000","0","0","12556000000","12885000000","36635000000","3747000000","-7172000000","40060000000","200000000","-6000000","194000000",
"2021-12-31","TSLA","USD","0001318605","2022-05-02","2022-04-29 18:05:17","2021","FY","53823000000","40217000000","13606000000","0.2527915575","2593000000","0","0","4517000000","-27000000","7110000000","47327000000","56000000","371000000","2911000000","9625000000","0.1788268956","6523000000","0.1211935418","-180000000","6343000000","0.1178492466","699000000","5524000000","0.1026327035","1.87","1.63","2959000000","3386000000","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm","-5399000000","0","0","5728000000","329000000","31176000000","2911000000","-8014000000","36279000000","207000000","-7000000","200000000",
