date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","TSLA","USD","0001318605","2025-01-30","2025-01-29 20:42:33","2024","FY","16139000000","20424000000","36563000000","4418000000","12017000000","5362000000","58360000000","51507000000","244000000","1226000000","1470000000","null","6524000000","4215000000","63716000000","-6000000","122070000000","12474000000","3263000000","null","4161000000","8923000000","28821000000","10360000000","3317000000","null","5892000000","19569000000","0","5745000000","48390000000","0","3000000","35209000000","-670000000","38371000000","72913000000","73680000000","122070000000","767000000","122070000000","20424000000","13623000000","-2516000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm","27882000000","7130000000","0","0","7327000000","51507000000","5368000000","-11342000000","57481000000","253000000","-9000000",
"2023-12-31","TSLA","USD","0001318605","2024-01-29","2024-01-26 21:00:20","2023","FY","16398000000","12696000000","29094000000","3508000000","13626000000","3388000000","49616000000","45123000000","253000000","362000000","615000000","0","6733000000","4531000000","57002000000","0","106618000000","14431000000","3045000000","1204000000","3740000000","6328000000","28748000000","6528000000","3251000000","0","4482000000","14261000000","0","4916000000","43009000000","0","3000000","27882000000","-143000000","34892000000","62634000000","63609000000","106618000000","975000000","106618000000","12696000000","9573000000","-6825000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm","12885000000","14999000000","0","0","14997000000","45123000000","4667000000","-8899000000","49355000000","194000000","59000000",
"2022-12-31","TSLA","USD","0001318605","2023-01-31","2023-01-30 21:29:15","2022","FY","16253000000","5932000000","22185000000","2952000000","12839000000","2941000000","40917000000","36635000000","194000000","399000000","593000000","0","328000000","3865000000","41421000000","0","82338000000","15255000000","1987000000","1235000000","2810000000","5422000000","26709000000","3761000000","2804000000","82000000","3084000000","9731000000","0","3703000000","36440000000","0","3000000","12885000000","-361000000","32177000000","44704000000","45898000000","82338000000","1194000000","82338000000","5932000000","5748000000","-10505000000","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm","329000000","12583000000","0","0","12556000000","36635000000","3747000000","-7172000000","40060000000","200000000","-6000000",
"2021-12-31","TSLA","USD","0001318605","2022-05-02","2022-04-29 18:05:17","2021","FY","17576000000","131000000","17707000000","1913000000","5757000000","1723000000","27100000000","31176000000","200000000","1517000000","1717000000","0","0","2134000000","35027000000","4000000","62131000000","10025000000","1957000000","1122000000","2372000000","4229000000","19705000000","6916000000","2052000000","24000000","1875000000","10843000000","0","3531000000","30548000000","0","1000000","329000000","54000000","29805000000","30189000000","31583000000","62131000000","1394000000","62131000000","131000000","8873000000","-8703000000","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm","-5399000000","5524000000","0","0","5728000000","31176000000","2911000000","-8014000000","36279000000","207000000","-7000000",
