date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","TSLA","USD","0001318605","2025-01-30","2025-01-29 20:42:33","2024","FY","7130000000","5368000000","477000000","1999000000","81000000","-1083000000","937000000","3588000000","-3361000000","-155000000","14923000000","-11342000000","0","-35955000000","28510000000","0","-18787000000","2863000000","0","0","0","990000000","3853000000","-141000000","-152000000","17037000000","17189000000","14923000000","-11342000000","3581000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm","27882000000","0","7327000000","35209000000","51507000000","5368000000","57481000000","253000000","-9000000","244000000",
"2023-12-31","TSLA","USD","0001318605","2024-01-29","2024-01-26 21:00:20","2023","FY","14999000000","4667000000","-6349000000","1812000000","-2248000000","-586000000","-1195000000","2605000000","-3072000000","400000000","13256000000","-8899000000","-64000000","-19112000000","12491000000","0","-15584000000","2116000000","0","0","0","473000000","2589000000","4000000","265000000","17189000000","16924000000","13256000000","-8899000000","4357000000","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm","12885000000","0","14997000000","27882000000","45123000000","4667000000","49355000000","194000000","59000000","253000000",
"2022-12-31","TSLA","USD","0001318605","2023-01-31","2023-01-30 21:29:15","2022","FY","12583000000","3543000000","0","1560000000","-3712000000","-1124000000","-6465000000","6029000000","-2152000000","777000000","14724000000","-7163000000","0","-5835000000","22000000","1003000000","-11973000000","-3866000000","0","0","0","-202000000","-3527000000","-444000000","-1220000000","16924000000","18144000000","14724000000","-7172000000","7552000000","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm","329000000","0","12556000000","12885000000","36635000000","3747000000","40060000000","200000000","-6000000","194000000",
"2021-12-31","TSLA","USD","0001318605","2022-05-02","2022-04-29 18:05:17","2021","FY","5524000000","2911000000","-149000000","2121000000","667000000","-130000000","-1709000000","4578000000","-2072000000","428000000","11497000000","-6514000000","0","-132000000","0","-1222000000","-7868000000","-5732000000","0","0","0","-178000000","-5203000000","-183000000","-1757000000","18144000000","19901000000","11497000000","-8014000000","3483000000","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm","https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm","-5399000000","0","5728000000","329000000","31176000000","2911000000","36279000000","207000000","-7000000","200000000",
