date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","META","USD","0001326801","2025-01-30","2025-01-29 20:00:50","2024","FY","62360000000","15498000000","-4738000000","16690000000","1048000000","-1485000000","0","373000000","2160000000","470000000","91328000000","-37256000000","0","-25542000000","15789000000","-141000000","-47150000000","8463000000","0","-30125000000","-5072000000","-14047000000","-40781000000","-786000000","2611000000","45438000000","42827000000","91328000000","-37256000000","54072000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm","82070000000","-30125000000","-14761000000","102506000000","136268000000","15498000000","158026000000","20654000000","0","20654000000",
"2023-12-31","META","USD","0001326801","2024-02-02","2024-02-01 19:39:02","2023","FY","39098000000","11178000000","131000000","14027000000","3836000000","-2399000000","0","51000000","6184000000","2843000000","71113000000","-27266000000","-629000000","-2982000000","6184000000","198000000","-24495000000","7397000000","0","-19774000000","0","-111000000","-19500000000","113000000","27231000000","42827000000","15596000000","71113000000","-27266000000","43847000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm","64799000000","-19774000000","-2503000000","82070000000","109881000000","11178000000","125969000000","20306000000","348000000","20654000000",
"2022-12-31","META","USD","0001326801","2023-02-02","2023-02-01 20:26:31","2022","FY","23200000000","8686000000","-3286000000","11992000000","5683000000","231000000","0","210000000","5242000000","4200000000","50475000000","-31431000000","-1312000000","-9631000000","13158000000","246000000","-28970000000","-850000000","0","-27956000000","0","344000000","-22136000000","-638000000","-1269000000","15596000000","16865000000","50475000000","-31431000000","19044000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm","69761000000","-27956000000","-32918000000","64799000000","92191000000","8686000000","114936000000","19197000000","1109000000","20306000000",
"2021-12-31","META","USD","0001326801","2022-02-03","2022-02-02 21:11:04","2021","FY","39370000000","7967000000","609000000","9164000000","700000000","-3110000000","2187000000","1436000000","187000000","-127000000","57683000000","-18567000000","-898000000","-30407000000","42586000000","-284000000","-7570000000","-677000000","0","-44537000000","0","-5528000000","-50728000000","-474000000","-1089000000","16865000000","17954000000","57683000000","-18567000000","39116000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm","77345000000","-44537000000","-52121000000","69761000000","69964000000","7967000000","80564000000","19050000000","147000000","19197000000",
