date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, cashAndCashEquivalents, shortTermInvestments, cashAndShortTermInvestments, netReceivables, inventory, otherCurrentAssets, totalCurrentAssets, propertyPlantEquipmentNet, goodwill, intangibleAssets, goodwillAndIntangibleAssets, longTermInvestments, taxAssets, otherNonCurrentAssets, totalNonCurrentAssets, otherAssets, totalAssets, accountPayables, shortTermDebt, taxPayables, deferredRevenue, otherCurrentLiabilities, totalCurrentLiabilities, longTermDebt, deferredRevenueNonCurrent, deferredTaxLiabilitiesNonCurrent, otherNonCurrentLiabilities, totalNonCurrentLiabilities, otherLiabilities, capitalLeaseObligations, totalLiabilities, preferredStock, commonStock, retainedEarnings, accumulatedOtherComprehensiveIncomeLoss, othertotalStockholdersEquity, totalStockholdersEquity, totalEquity, totalLiabilitiesAndStockholdersEquity, minorityInterest, totalLiabilitiesAndTotalEquity, totalInvestments, totalDebt, netDebt, link, finalLink, lastRetainedEarnings, netIncome, stockRepurchases, dividendsPaid, otherDistributions, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments
"2024-12-31","META","USD","0001326801","2025-01-30","2025-01-29 20:00:50","2024","FY","43889000000","33926000000","77815000000","16994000000","0","5236000000","100045000000","136268000000","20654000000","915000000","21569000000","6070000000","0","12102000000","176009000000","0","276054000000","7687000000","0","9987000000","0","12424000000","33596000000","28826000000","0","0","12703000000","59821000000","0","20234000000","93417000000","0","0","102506000000","-3097000000","0","182637000000","182637000000","276054000000","0","276054000000","39996000000","49060000000","5171000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm","82070000000","62360000000","-30125000000","-5072000000","-14761000000","136268000000","15498000000","-37256000000","158026000000","20654000000","0",
"2023-12-31","META","USD","0001326801","2024-02-02","2024-02-01 19:39:02","2023","FY","41862000000","23541000000","65403000000","16169000000","0","3793000000","85365000000","109881000000","20654000000","788000000","21442000000","6141000000","0","6794000000","144258000000","0","229623000000","4849000000","0","3655000000","0","18829000000","31960000000","18385000000","0","0","8884000000","44495000000","0","18849000000","76455000000","0","0","82070000000","-2155000000","0","153168000000","153168000000","229623000000","0","229623000000","29682000000","37234000000","-4628000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm","64799000000","39098000000","-19774000000","0","-2503000000","109881000000","11178000000","-27266000000","125969000000","20306000000","348000000",
"2022-12-31","META","USD","0001326801","2023-02-02","2023-02-01 20:26:31","2022","FY","14681000000","26057000000","40738000000","13466000000","0","5345000000","59549000000","92191000000","20306000000","897000000","21203000000","6201000000","0","6583000000","126178000000","0","185727000000","4990000000","0","2339000000","15763000000","16078000000","27026000000","9923000000","-5490000000","5490000000","7764000000","32988000000","0","16668000000","60014000000","0","64444000000","64799000000","-3530000000","0","125713000000","125713000000","185727000000","0","185727000000","32258000000","26591000000","11910000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm","69761000000","23200000000","-27956000000","0","-32918000000","92191000000","8686000000","-31431000000","114936000000","19197000000","1109000000",
"2021-12-31","META","USD","0001326801","2022-02-03","2022-02-02 21:11:04","2021","FY","16601000000","31397000000","47998000000","14039000000","0","0","66666000000","69964000000","19197000000","634000000","19831000000","6775000000","0","2751000000","99321000000","0","165987000000","4083000000","0","1256000000","561000000","8410000000","21135000000","0","0","0","7227000000","19973000000","0","13873000000","41108000000","0","55811000000","69761000000","-693000000","0","124879000000","124879000000","165987000000","0","165987000000","38172000000","13873000000","-2728000000","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm","https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm","77345000000","39370000000","-44537000000","0","-52121000000","69964000000","7967000000","-18567000000","80564000000","19050000000","147000000",
