date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-05-31","NKE","USD","0000320187","2024-07-25","2024-07-25 16:16:58","2024","FY","51362000000","28475000000","22887000000","0.4456018068","0","12291000000","4285000000","16576000000","0","16348000000","44823000000","161000000","0","844000000","7155000000","0.139305323","6690000000","0.1302519372","10000000","6700000000","0.1304466337","1000000000","5700000000","0.1109769869","3.76","3.73","1517600000","1529700000","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/0000320187-24-000044-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm","1358000000","-4250000000","-2169000000","-6812000000","965000000","7718000000","844000000","-812000000","7686000000","281000000","-41000000","240000000",
"2023-05-31","NKE","USD","0000320187","2023-07-20","2023-07-20 16:20:36","2023","FY","51217000000","28925000000","22292000000","0.4352461097","0","12317000000","4060000000","16377000000","280000000","16377000000","45302000000","297000000","0","859000000","6774000000","0.1322607728","5056000000","0.0987172228","286000000","6201000000","0.1210730812","1131000000","5070000000","0.0989905695","3.27","3.23","1551600000","1569800000","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm","3476000000","-5480000000","-2012000000","-9610000000","1358000000","8004000000","859000000","-969000000","8114000000","284000000","-3000000","281000000",
"2022-05-31","NKE","USD","0000320187","2022-07-21","2022-07-21 16:05:53","2022","FY","46710000000","25231000000","21479000000","0.4598372939","0","10954000000","3850000000","14804000000","181000000","14804000000","40035000000","94000000","292000000","840000000","7515000000","0.1608863198","5835000000","0.1249197174","-24000000","6651000000","0.14238921","605000000","6046000000","0.1294369514","3.83","3.75","1578800000","1610800000","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm","3179000000","-4014000000","-1837000000","-5554000000","3476000000","7717000000","840000000","-758000000","7635000000","242000000","42000000","284000000",
"2021-05-31","NKE","USD","0000320187","2021-07-20","2021-07-20 16:11:03","2021","FY","44538000000","24576000000","19962000000","0.4482015358","0","9911000000","3114000000","13025000000","-14000000","13025000000","37601000000","34000000","262000000","797000000","7734000000","0.1736494679","6140000000","0.1378598051","-471000000","6661000000","0.1495576811","934000000","5727000000","0.1285868247","3.64","3.56","1573000000","1609400000","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm","https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm","-191000000","-608000000","-1638000000","1124000000","3179000000","8017000000","797000000","-695000000","7915000000","223000000","19000000","242000000",
