date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","BCE","CAD","0000718940","2025-03-07","2025-03-07 17:03:34","2024","FY","24409000000","7705000000","16704000000","0.6843377443","0","4199000000","0","4199000000","6957000000","11156000000","18861000000","222000000","1746000000","5041000000","7739000000","0.3170551846","5548000000","0.2272932115","-4596000000","952000000","0.0390020075","577000000","344000000","0.0140931624","0.18","0.18","912300000","912300000","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/0001193125-25-049950-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/d899242d40f.htm","-5513000000","-92000000","-3800000000","-6820000000","-8441000000","30001000000","5041000000","-4428000000","29388000000","10942000000","-681000000","10261000000",
"2023-12-31","BCE","CAD","0000718940","2024-03-08","2024-03-08 09:24:14","2023","FY","24673000000","17250000000","7423000000","0.3008551858","90000000","4406000000","-2572000000","1834000000","0","1924000000","19174000000","216000000","1516000000","4918000000","9757000000","0.3954525189","5499000000","0.2228752077","-2176000000","3323000000","0.1346816358","996000000","2263000000","0.0917196936","2.28","2.28","912200000","912200000","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/0001193125-24-063019-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/d758244d40f.htm","-3649000000","-140000000","-3668000000","-5672000000","-5513000000","30352000000","4918000000","-4764000000","30198000000","10906000000","36000000","10942000000",
"2022-12-31","BCE","CAD","0000718940","2023-03-03","2023-03-03 09:14:19","2022","FY","24174000000","7641000000","16533000000","0.6839166046","0","4417000000","0","4417000000","6640000000","11057000000","18698000000","51000000","1179000000","4723000000","8615000000","0.3563746174","5476000000","0.226524365","-1583000000","3893000000","0.1610407876","967000000","2868000000","0.118639861","2.98","2.98","911500000","912000000","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/0001193125-23-059140-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/d451834d40f.htm","-3400000000","-125000000","-3448000000","-3822000000","-3649000000","29256000000","4723000000","-5136000000","29669000000","10572000000","334000000","10906000000",
"2021-12-31","BCE","CAD","0000718940","2022-03-04","2022-03-04 09:14:03","2021","FY","23449000000","7284000000","16165000000","0.6893684166","0","4424000000","0","4424000000","6457000000","10881000000","18165000000","11000000","1113000000","4609000000","9658000000","0.4118725745","5284000000","0.2253400998","-1348000000","3936000000","0.1678536398","1044000000","2840000000","0.1211139068","2.99","2.99","906300000","906700000","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/0001193125-22-065246-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/d250764d40f.htm","-4681000000","0","-3257000000","-1976000000","-3400000000","28235000000","4609000000","-6919000000","30545000000","10604000000","-32000000","10572000000",
