date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","ENB","CAD","0000000000","2025-03-11","2025-03-11 17:18:34","2024","FY","53473000000","34207000000","19266000000","0.3602939801","0","0","0","0","9617000000","9617000000","43824000000","-18000000","4401000000","5167000000","16867000000","0.3154302171","9649000000","0.1804462065","-2350000000","7299000000","0.1364987938","1668000000","5441000000","0.1017522862","2.34","2.34","2155000000","2158000000","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/0001193125-25-052058-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312525052058/d915084d10ka.htm","-17115000000","0","-8262000000","-11193000000","-20046000000","131104000000","5167000000","-6930000000","132867000000","31848000000","4752000000","36600000000",
"2023-12-31","ENB","CAD","0000000000","2024-03-13","2024-03-12 21:40:49","2023","FY","43649000000","25979000000","17670000000","0.4048202708","0","-135000000","0","-135000000","9154000000","9019000000","34998000000","10000000","3822000000","4613000000","16349000000","0.3745561181","8651000000","0.1981946895","-772000000","7879000000","0.1805081445","1821000000","6191000000","0.14183601","2.84","2.84","2056000000","2058000000","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/0001193125-24-066168-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312524066168/d568818d10ka.htm","-15486000000","-125000000","-7628000000","-9382000000","-17115000000","105310000000","4613000000","-4876000000","105573000000","32440000000","-592000000","31848000000",
"2022-12-31","ENB","CAD","0000000000","2023-03-06","2023-03-06 08:36:14","2022","FY","53309000000","36906000000","16403000000","0.3076966366","0","8219000000","0","-239000000","11464000000","11225000000","48131000000","45000000","3224000000","4317000000","12083000000","0.2266596635","5178000000","0.0971318164","-636000000","4542000000","0.0852013731","1604000000","3003000000","0.0563319515","1.28","1.28","2025000000","2029000000","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/0001193125-23-060793-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000119312523060793/d409094d10ka.htm","-10989000000","-1154000000","-7306000000","-12957000000","-15486000000","104460000000","4317000000","-4821000000","104964000000","32775000000","-335000000","32440000000",
"2021-12-31","ENB","CAD","0000000000","2022-02-11","2022-02-11 07:11:13","2021","FY","47071000000","32554000000","14517000000","0.3084064498","0","6712000000","0","-150000000","6862000000","6712000000","39266000000","50000000","2705000000","3852000000","14286000000","0.3034989696","7805000000","0.1658133458","-76000000","7729000000","0.1641987636","1415000000","6189000000","0.131482229","2.87","2.87","2023000000","2025000000","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm","https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/enb-20211231.htm","-9995000000","-415000000","-7133000000","-8542000000","-10989000000","100067000000","3852000000","-8093000000","104308000000","32700000000","75000000","32775000000",
