date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","GOOG","USD","0001652044","2025-02-05","2025-02-04 20:41:40","2024","FY","100118000000","15311000000","-5257000000","22785000000","-8406000000","-5891000000","0","359000000","-2874000000","748000000","125299000000","-52535000000","-2931000000","-91713000000","104310000000","-2667000000","-45536000000","888000000","0","-62222000000","-7363000000","-11036000000","-79733000000","-612000000","-582000000","23466000000","24048000000","125299000000","-52535000000","72764000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm","211247000000","-62222000000","-35748000000","245084000000","184624000000","15311000000","221848000000","29198000000","2687000000","31885000000",
"2023-12-31","GOOG","USD","0001652044","2024-01-31","2024-01-30 21:43:43","2023","FY","73795000000","11946000000","-7763000000","22460000000","-3845000000","-7833000000","2276000000","664000000","1048000000","5153000000","101746000000","-32251000000","-495000000","-80885000000","87619000000","-1051000000","-27063000000","-760000000","0","-61504000000","0","-9829000000","-72093000000","-421000000","2169000000","24048000000","21879000000","101746000000","-32251000000","69495000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm","195563000000","-61504000000","-45820000000","211247000000","148436000000","11946000000","168741000000","28960000000","238000000","29198000000",
"2022-12-31","GOOG","USD","0001652044","2023-02-03","2023-02-02 21:23:45","2022","FY","59972000000","15928000000","-8081000000","19362000000","-2235000000","-2317000000","0","707000000","-625000000","6549000000","91495000000","-31485000000","-6969000000","-81405000000","97972000000","1589000000","-20298000000","-1196000000","0","-59296000000","0","-9265000000","-69757000000","-506000000","934000000","21879000000","20945000000","91495000000","-31485000000","60010000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm","191484000000","-59296000000","-55217000000","195563000000","127049000000","13475000000","145059000000","22956000000","6004000000","28960000000",
"2021-12-31","GOOG","USD","0001652044","2022-02-02","2022-02-01 21:08:02","2021","FY","76033000000","12441000000","1808000000","15376000000","-1523000000","-9095000000","7140000000","283000000","149000000","-12483000000","91652000000","-24640000000","-2618000000","-138034000000","129228000000","541000000","-35523000000","-1236000000","0","-50274000000","0","-9852000000","-61362000000","-287000000","-5520000000","20945000000","26465000000","91652000000","-24640000000","67012000000","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm","https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm","163401000000","-50274000000","-22191000000","191484000000","110558000000","12441000000","122757000000","21175000000","1781000000","22956000000",
