date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","BCE","CAD","0000718940","2025-03-07","2025-03-07 17:03:34","2024","FY","344000000","5041000000","577000000","0","-534000000","0","0","0","-534000000","1529000000","6988000000","-4428000000","-624000000","0","0","614000000","-4438000000","2476000000","0","-92000000","-3800000000","-334000000","-1750000000","0","800000000","1572000000","772000000","6988000000","-4428000000","2560000000","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/0001193125-25-049950-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312525049950/d899242d40f.htm","-5513000000","-92000000","-6820000000","-8441000000","30001000000","5041000000","29388000000","10942000000","-681000000","10261000000",
"2023-12-31","BCE","CAD","0000718940","2024-03-08","2024-03-08 09:24:14","2023","FY","2263000000","4918000000","996000000","0","-157000000","-57000000","0","0","-100000000","-74000000","7946000000","-4581000000","-13000000","0","0","-1187000000","-5781000000","2542000000","18000000","-140000000","-3668000000","-443000000","-1542000000","0","623000000","772000000","149000000","7946000000","-4764000000","3182000000","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/0001193125-24-063019-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312524063019/d758244d40f.htm","-3649000000","-140000000","-5672000000","-5513000000","30352000000","4918000000","30198000000","10906000000","36000000","10942000000",
"2022-12-31","BCE","CAD","0000718940","2023-03-03","2023-03-03 09:14:19","2022","FY","2868000000","4723000000","967000000","101000000","325000000","-37000000","0","0","362000000","-677000000","8365000000","-5136000000","-377000000","0","0","-4000000","-5517000000","39000000","171000000","-125000000","-3448000000","375000000","-2988000000","0","-140000000","149000000","289000000","8365000000","-5136000000","3229000000","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/0001193125-23-059140-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312523059140/d451834d40f.htm","-3400000000","-125000000","-3822000000","-3649000000","29256000000","4723000000","29669000000","10572000000","334000000","10906000000",
"2021-12-31","BCE","CAD","0000718940","2022-03-04","2022-03-04 09:14:03","2021","FY","2840000000","4609000000","1044000000","0","285000000","278000000","0","0","7000000","-770000000","8008000000","-6919000000","-12000000","0","0","-72000000","-7003000000","2585000000","261000000","0","-3257000000","-611000000","-1022000000","0","-17000000","207000000","224000000","8008000000","-6919000000","1089000000","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/0001193125-22-065246-index.htm","https://www.sec.gov/Archives/edgar/data/718940/000119312522065246/d250764d40f.htm","-4681000000","0","-1976000000","-3400000000","28235000000","4609000000","30545000000","10604000000","-32000000","10572000000",
