date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink, lastRetainedEarnings, stockRepurchases, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2024-12-31","DAC","USD","0001369241","2025-03-05","2025-03-05 16:31:02","2024","FY","505073000","143810000","0","14558000","-46144000","-6544000","630000","7060000","-47290000","4453000","621750000","-659343000","-1642000","0","0","10196000","-650789000","334030000","0","-53332000","-62807000","-7277000","210614000","0","181575000","453384000","271809000","621750000","-659343000","-37593000","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/0001410578-25-000277-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000141057825000277/dac-20241231x20f.htm","2401912000","-53332000","326125000","2844176000","3556147000","143810000","4071680000","0","0","0",
"2023-12-31","DAC","USD","0001369241","2024-02-29","2024-02-29 16:31:04","2023","FY","576299000","108065000","0","12680000","-102471000","-21725000","-8412000","-390000","-71944000","-18281000","576292000","-268035000","0","-74407000","0","3914000","-338528000","-27500000","0","-70610000","-60696000","-1892000","-233623000","0","4141000","271809000","267668000","576292000","-268035000","308257000","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/0001104659-24-029397-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465924029397/dac-20231231x20f.htm","1886311000","-70610000","384295000","2401912000","3048457000","108065000","3208427000","0","0","0",
"2022-12-31","DAC","USD","0001369241","2023-03-09","2023-03-09 16:27:20","2022","FY","559210000","77572000","0","5972000","151958000","1483000","-3520000","5580000","148415000","140029000","934741000","-199135000","129069000","-375707000","246638000","375707000","176572000","-1046474000","0","-28553000","-61483000","-19617001","-973401000","0","137912000","267668000","129756000","934741000","-199135000","735606000","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/0001104659-23-030602-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465923030602/dac-20221231x20f.htm","1388595000","-28553000","407680000","1886311000","2912230000","146441000","2964924000","0","0","0",
"2021-12-31","DAC","USD","0001369241","2022-03-03","2022-03-03 16:16:24","2021","FY","1052841000","89303000","-719526000","15278000","-31962000","786000","-2068000","4518000","-35198000","22177000","428111000","-355720000","16222000","-16222000","196350000","16222000","-143148000","-1397524000","0","0","-30887000","-32770000","-220870000","0","64093000","129756000","65663000","428111000","-355720000","72391000","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/0001104659-22-030016-index.htm","https://www.sec.gov/Archives/edgar/data/1369241/000110465922030016/dac-20201231x20f.htm","366652000","0","991056000","1388595000","2941093000","127098000","3169715000","0","0","0",
